label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,123622216468668.16,3144420536016.8105,861312163977.6458,405220136413.3772,233945602420.7864,143612790645.28192,96734264391.85043,73080572386.07942,50890602330.23022,38797956216.170204,32398076516.571754,25758892382.047607,21798334223.369648,18870349099.599934,16021432092.36737,12991182324.30783,11315739649.353592,10711247076.297579,9450473261.55891,7007567056.457336,6049814042.474843,5308074750.118827,4810399516.464264,4357567412.1034775,3755975319.052781,3513545148.09991,3325094314.1669292,3180375798.084211,3358752627.0436707,705322635.0935066
1,115357990451269.52,977280126848.7356,265004147422.03156,102816308202.10959,57744896221.57828,37617668349.226,31220375002.66369,20318442260.985672,7889652099.064807,4794430942.358568,3793061608.4184484,3345195348.7766666,3003866148.8002076,2886714842.8737597,2302028490.739521,1718029473.7347732,1631861487.3197417,1543626494.3264287,1388795918.8579397,1309538582.8790898,1125548862.2711568,960144677.9227164,959593024.386973,906312011.6760616,837460751.2164183,833822203.6102109,797626023.300447,726206561.6682948,718044386.479003,167688610.46673167
1,114015844637761.31,475583528922.11444,155941575617.5724,70061276693.82346,41763852677.42429,30089179484.6573,21975678842.054466,15226811707.877121,7935383639.747952,6661121248.584541,6177616796.040241,4634131844.233488,3890155346.419334,4191604586.948625,3891790112.8295774,3464484444.1421633,3261274533.4656734,2392219326.8848343,2019907200.6067176,1762250040.2843103,1739493462.7009926,1720516198.4377441,1830080554.9245381,1627265129.4351444,1337502617.633444,1144334577.9554818,1024500439.659864,990734540.6481855,987395070.5900013,174776901.01556802
1,314198747984431.44,2554331811939.547,709455502452.2468,288015725707.70105,161496290760.13693,111493619431.88773,75479500663.44669,46800093823.21515,15923800603.659397,11832427805.210056,9638331384.29525,7863409863.469202,6482899332.374637,5856763920.00478,4843739908.789162,4258431810.1935215,3789477161.721437,3193022670.9139557,2883843096.7950983,2654012419.90994,2374530262.1203465,2107437463.603241,2034069125.3597312,1858847175.511374,1744733941.7221322,1734239641.3368716,1579864486.5218992,1533721021.6888275,1506058823.4567559,203074339.78077757
1,117916446211712.9,1032286462055.1711,305755512696.9236,128722254101.40948,88170739090.65552,61939252727.8255,39299247480.91142,28789415746.487526,15701682620.064295,12088948505.269487,10060037509.424208,8657898351.124905,6959614641.3256855,6296258188.077749,5574344552.519334,4959122391.392443,4630864526.574201,4349458152.458627,3537083544.7961416,3563238286.7480736,3321382952.460252,2923988816.3705177,2928773945.2391276,2748095636.8835,2432505516.021573,2604063851.295123,2474368825.276602,2341965864.088354,2433502599.190426,261232919.13076097
1,111063552927297.1,1284629153140.0938,400172490114.0421,197887270489.4176,116423935714.65002,76703925045.18413,54086222070.8264,39189906840.579384,23825846927.541832,17462767804.12654,13882771443.528086,10972128822.099506,8665884381.407568,7115050749.603596,5887079614.250689,5063312363.867425,4260283321.0735183,3842477395.5031033,3285463296.126649,2908333132.066206,2534995313.5811777,2185424094.055158,2050581804.526606,1944478960.322707,1703328238.8815842,1612971790.6568608,1561501546.7682824,1434221553.2323418,1428748068.3388214,297472161.5662581
1,83168886767928.47,1155987246629.501,397002929254.25977,209207398389.64886,137950127172.5297,95954241340.59734,65125470953.85683,45676540057.76155,20833557005.36358,16116934287.663511,14211473138.5127,11589856062.18159,10429430687.120955,8982306382.688965,7110159058.706059,6252083251.917557,6438044707.482534,5873536765.438908,4551827493.051316,4103816481.765039,3503145095.580323,3117984548.1080294,2989103435.1037245,2731750813.0686274,2510772516.610077,2471850886.20737,2388459285.2555737,2208360765.2736907,2240199869.857931,272453816.42246413
1,149848277485242.44,872226303963.3857,215078996773.72018,106441067288.77872,67884971889.195694,46123093600.99688,34424971087.69807,23633255945.78524,10365300921.8871,8785114334.358444,7512317583.056086,7117586152.634914,5543737533.168182,6869660626.606568,6439571560.485115,6830390324.903999,3618387786.7413855,2881371851.507224,2590392670.5070553,2154856354.986558,2114643395.822512,1954305183.6113255,1807183747.4159613,1826389438.289812,1490596510.523827,1608587408.1958704,1340917350.8526812,1314142500.1495948,1732273798.691045,332480053.64345896
1,142992562286165.16,1453123255971.9023,433678468757.5923,208411894400.6522,139415505014.82883,91231851974.53494,69321861935.26901,45696238353.757,15699135663.162334,12316858362.53689,12620172527.08244,13118823004.667463,9985919809.300692,7269401046.9942875,6138873391.157189,5754137866.77911,4352448086.017226,3613694638.2439184,3035950480.9255524,2622778055.305502,2334744740.2882304,2039410106.484982,2001219486.1468592,1936287793.071589,1532357424.5382586,1587467182.0299687,1409980371.4861767,1318308455.8437855,1178711524.571897,235121752.64904666
1,97565812601271.17,1366447399862.2417,385986398703.08813,189900129715.2787,101094095461.4979,66116374361.19535,50753220505.787094,35438854479.295,19120655658.967365,14947709237.055622,13850917883.13787,11433582718.375692,10223993394.642376,14018679106.241001,14357043841.43483,10612555072.644377,8047214639.104258,4968879249.890865,4428090891.352219,3592021124.983614,3807396082.860938,3029633396.9515204,2575836022.2279763,2562146032.34457,2311249376.523497,2389912409.3072658,2426211625.8928347,2408979955.576648,2643505042.691657,536190878.23878014
